customer_id,tenure_months,monthly_charges,total_charges,number_of_orders,days_since_last_order,support_tickets,page_views_per_month,items_in_wishlist,abandoned_cart_count,discount_usage_rate,email_open_rate,mobile_app_usage,preferred_payment_method,customer_segment,churn
CUST000000,11,50.433272289293996,616.0081756153453,7,18,3,100.01000128355237,5,1,0.400739795350507,0.24939640212372974,0,Debit Card,Regular,0
CUST000001,72,4.675448267745786,315.074236230001,7,46,1,29.533589128642525,1,4,0.4381455923071032,0.6821955460296493,0,Debit Card,Regular,0
CUST000002,31,123.07753753321491,4170.7481773350155,8,3,1,131.89085249986223,2,2,0.6066441323139683,0.1362021098524188,1,Credit Card,Regular,0
CUST000003,21,114.14097195218773,2517.314058906034,7,44,5,24.00050251066679,2,3,0.20498783901312084,0.5570083564323308,0,PayPal,Occasional,0
CUST000004,4,121.21717669341412,522.5556019643874,11,8,1,29.998433232798114,2,4,0.2874555114418098,0.5236333607293852,1,PayPal,Regular,0
CUST000005,4,40.248157293360606,179.7826253055145,7,9,1,7.891280922842703,7,2,0.4005784321490944,0.5281385010998577,1,PayPal,Regular,0
CUST000006,1,51.191038415126734,52.34898215528241,11,27,1,62.66916192498476,4,2,0.40609952327435905,0.39031609503514314,0,Debit Card,Occasional,0
CUST000007,48,49.770637236442525,1996.7530872080767,9,69,2,37.59108138531786,2,0,0.42629463618092006,0.2467889769113521,0,Debit Card,Occasional,1
CUST000008,22,178.2115108315866,3991.913122249181,10,25,0,107.4686683730688,3,1,0.33213275910524015,0.4110071494263204,1,Debit Card,Occasional,0
CUST000009,29,95.95492098786046,2190.7022568744283,10,31,2,52.42394093481671,2,1,0.4960542483111413,0.12993827878374722,0,PayPal,Occasional,0
CUST000010,0,86.5568662721517,0.0,11,44,1,71.91528837588899,3,5,0.1781567664495983,0.45528466259216727,0,Debit Card,Regular,0
CUST000011,84,143.46554084807954,11555.10350362477,6,9,1,47.00945748542185,2,2,0.39207410749971333,0.09328615588545142,1,PayPal,Occasional,0
CUST000012,42,49.91538051769405,2064.9968580732802,10,52,0,17.616062377186097,1,3,0.18522164358217955,0.21848795290664355,0,Credit Card,Regular,0
CUST000013,5,109.03857348458664,485.99085521191523,9,16,0,167.45202008566622,1,5,0.18294152208984038,0.04174444084500223,0,PayPal,Occasional,1
CUST000014,4,292.8481324652808,1171.7079571189724,13,5,1,60.67564470274533,5,4,0.209053271406273,0.3352944905979591,1,PayPal,Regular,0
CUST000015,4,197.4907040462538,763.4849669809626,8,12,1,29.49715564444539,3,1,0.0922413598864565,0.1631026821582585,1,PayPal,Regular,0
CUST000016,8,107.84188202264231,794.4826669249555,11,8,3,50.27189586049762,6,2,0.44379224507421605,0.2536115636274773,1,Debit Card,Regular,0
CUST000017,17,89.05585538744798,1508.874674217006,14,7,2,80.8036589957529,1,1,0.21626381751402862,0.1758933128993125,0,PayPal,Occasional,0
CUST000018,13,120.46848417568701,1593.7133287268412,17,9,2,14.701929331421525,3,3,0.46276800066823337,0.33687075785989606,0,PayPal,Regular,0
CUST000019,8,216.0168100177713,1564.902724024123,6,5,2,52.61543345707732,4,2,0.12898636054762416,0.3083849578604479,1,Debit Card,Premium,0
CUST000020,22,205.85804970375406,4504.269885130504,1,33,3,42.97779960255852,4,1,0.15800798798856164,0.4567536555642368,1,Credit Card,Premium,0
CUST000021,3,240.42915978347162,703.4485133227893,14,26,1,24.447790299324485,2,2,0.20229033155253381,0.219725296537581,0,PayPal,Regular,1
CUST000022,8,100.0150470603663,821.7893251461803,11,31,2,81.95629071869138,1,2,0.30959358521035557,0.3641476646172838,1,PayPal,Premium,0
CUST000023,10,8.239193498854972,82.94760283313282,7,12,0,30.850088324221137,3,1,0.3769585721617101,0.3489980890015523,1,Debit Card,Regular,0
CUST000024,14,279.3595090894223,4343.903500957952,13,44,1,102.15751994548478,3,2,0.387203849147335,0.13003889413577488,0,Credit Card,Occasional,0
CUST000025,36,42.66591063267971,1681.2468959536911,14,4,1,38.20451978192507,4,0,0.18547548996129387,0.2998298993926318,0,PayPal,Premium,0
CUST000026,5,141.82692006031792,809.2326835135635,7,25,0,74.69378794408131,2,0,0.184345676849202,0.23579308914932476,0,PayPal,Regular,0
